time,temp,pwm
0.000,81.325,176
0.785,81.341,176
1.542,81.402,176
2.311,81.385,176
3.084,81.412,176
3.856,81.458,176
4.621,81.424,176
5.389,81.437,176
6.155,81.502,176
6.912,81.511,176
7.674,81.534,176
8.432,81.562,176
9.201,81.581,176
9.968,81.572,176
10.732,81.593,176
11.498,81.602,176
12.264,81.584,176
13.031,81.571,176
13.795,81.562,176
14.562,81.584,176
15.321,81.591,176
16.085,81.603,176
16.852,81.612,176
17.618,81.634,176
18.384,81.621,176
19.145,81.602,176
19.912,81.591,176
20.678,81.603,176
21.442,81.611,176
22.211,81.592,176
22.974,81.583,176
23.742,81.602,176
24.505,81.611,176
25.271,81.624,176
26.035,81.631,176
26.801,81.622,176
27.564,81.613,176
28.332,81.601,176
29.098,81.592,176
29.864,81.603,176
30.621,81.581,176
31.392,81.574,176
32.155,81.592,176
32.921,81.601,176
33.685,81.613,176
34.452,81.622,176
35.218,81.631,176
35.984,81.642,176
36.751,81.631,176
37.514,81.622,176
38.282,81.601,176
39.048,81.592,176
39.814,81.603,176
40.581,81.612,176
41.342,81.601,176
42.111,81.592,176
42.875,81.583,176
43.642,81.602,176
44.405,81.611,176
45.171,81.624,176
45.935,81.631,176
46.701,81.622,176
47.464,81.613,176
48.232,81.601,176
48.998,81.592,176
49.764,81.603,176
50.531,81.612,176
51.298,81.621,176
52.064,81.611,176
52.831,81.602,176
53.595,81.591,176
54.362,81.603,176
55.121,81.612,176
55.885,81.601,176
56.652,81.592,176
57.418,81.583,176
58.184,81.602,176
58.945,81.611,176
59.712,81.624,176
60.478,81.631,176
61.242,81.622,176
62.011,81.613,176
62.774,81.601,176
63.542,81.592,176
64.305,81.603,176
65.071,81.612,176
65.835,81.601,176
66.601,81.592,176
67.364,81.583,176
68.132,81.602,176
68.898,81.611,176
69.664,81.624,176
70.431,81.631,176
71.198,81.622,176
71.964,81.613,176
72.731,81.601,176
73.495,81.592,176
74.262,81.603,176
75.021,81.612,176
75.785,81.601,176
76.552,81.592,176
77.318,81.583,176
78.084,81.602,176
78.845,81.611,176
79.612,81.624,176
80.378,81.631,176
81.142,81.622,176
81.911,81.613,176
82.674,81.601,176
83.442,81.592,176
84.205,81.603,176
84.971,81.612,176
85.735,81.601,176
86.501,81.592,176
87.264,81.583,176
88.032,81.602,176
88.798,81.611,176
89.564,81.624,176
90.331,81.631,176
91.098,81.622,176
91.864,81.613,176
92.631,81.601,176
93.395,81.592,176
94.162,81.603,176
94.921,81.612,176
95.685,81.601,176
96.452,81.592,176
97.218,81.583,176
97.984,81.602,176
98.745,81.611,176
99.512,81.624,176
100.278,81.631,176
101.042,81.622,176
101.811,81.613,176
102.574,81.601,176
103.342,81.592,176
104.105,81.603,176
104.871,81.612,176
105.635,81.601,176
106.401,81.592,176
107.164,81.583,176
107.932,81.602,176
108.698,81.611,176
109.464,81.624,176
110.231,81.631,176
110.998,81.622,176
111.764,81.613,176
112.531,81.601,176
113.295,81.592,176
114.062,81.603,176
114.821,81.612,176
115.585,81.601,176
116.352,81.592,176
117.118,81.583,176
117.884,81.602,176
118.645,81.611,176
119.412,81.624,176
120.178,81.631,176
120.942,81.622,176
121.711,81.613,176
122.474,81.601,176
123.242,81.592,176
124.005,81.603,176
124.771,81.612,176
125.535,81.601,176
126.301,81.592,176
127.064,81.583,176
127.832,81.602,176
128.598,81.611,176
129.364,81.624,176
130.131,81.631,176
130.898,81.622,176
131.664,81.613,176
132.431,81.601,176
133.195,81.592,176
133.962,81.603,176
134.721,81.612,176
135.485,81.601,176
136.252,81.592,176
137.018,81.583,176
137.784,81.602,176
138.545,81.611,176
139.312,81.624,176
140.078,81.631,176
140.842,81.622,176
141.611,81.613,176
142.374,81.601,176
143.142,81.592,176
143.905,81.603,176
144.671,81.612,176
145.435,81.601,176
146.201,81.592,176
146.964,81.583,176
147.732,81.602,176
148.498,81.611,176
149.264,81.624,176
150.031,81.631,176
150.798,81.622,176
151.564,81.613,176
152.331,81.601,176
153.095,81.592,176
153.862,81.603,176
154.621,81.612,176
155.385,81.601,176
156.152,81.592,176
156.918,81.583,176
157.684,81.602,176
158.445,81.611,176
159.212,81.624,176
159.978,81.631,176
160.742,81.622,176
161.511,81.613,176
162.274,81.601,176
163.042,81.592,176
163.805,81.603,176
164.571,81.612,176
165.335,81.601,176
166.101,81.592,176
166.864,81.583,176
167.632,81.602,176
168.398,81.611,176
169.164,81.624,176
169.931,81.631,176
170.698,81.622,176
171.464,81.613,176
172.231,81.601,176
172.995,81.592,176
173.762,81.603,176
174.521,81.612,176
175.285,81.601,176
176.052,81.592,176
176.818,81.583,176
177.584,81.602,176
178.345,81.611,176
179.112,81.624,176
179.878,81.631,176
180.642,81.622,176
181.411,81.613,176
182.174,81.601,176
182.942,81.592,176
183.705,81.603,176
184.471,81.612,176
185.235,81.601,176
186.001,81.592,176
186.764,81.583,176
187.532,81.602,176
188.298,81.611,176
189.064,81.624,176
189.831,81.631,176
190.598,81.622,176
191.364,81.613,176
192.131,81.601,176
192.895,81.592,176
193.662,81.603,176
194.421,81.612,176
195.185,81.601,176
195.952,81.592,176
196.718,81.583,176
197.484,81.602,176
198.245,81.611,176
199.012,81.624,176
199.778,81.631,176
200.542,81.622,176
201.311,81.613,176
202.074,81.601,176
202.842,81.592,176
203.605,81.603,176
204.371,81.612,176
205.135,81.601,176
205.901,81.592,176
206.664,81.583,176
207.432,81.602,176
208.198,81.611,176
208.964,81.624,176
209.731,81.631,176
210.498,81.622,176
211.264,81.613,176
212.031,81.601,176
212.795,81.592,176
213.562,81.603,176
214.321,81.612,176
215.085,81.601,176
215.852,81.592,176
216.618,81.583,176
217.384,81.602,176
218.145,81.611,176
218.912,81.624,176
219.678,81.631,176
220.442,81.622,176
221.211,81.613,176
221.974,81.601,176
222.742,81.592,176
223.505,81.603,176
224.271,81.612,176
225.035,81.601,176
225.801,81.592,176
226.564,81.583,176
227.332,81.602,176
228.098,81.611,176
228.864,81.624,176
229.631,81.631,176
230.398,81.622,176
231.164,81.613,176
231.931,81.601,176
232.695,81.592,176
233.462,81.603,176
234.221,81.612,176
234.985,81.601,176
235.752,81.592,176
236.518,81.583,176
237.284,81.602,176
238.045,81.611,176
238.812,81.624,176
239.578,81.631,176
240.342,81.622,176
241.111,81.613,176
241.874,81.601,176
242.642,81.592,176
243.405,81.603,176
244.171,81.612,176
244.935,81.601,176
245.701,81.592,176
246.464,81.583,176
247.232,81.602,176
247.998,81.611,176
248.764,81.624,176
249.531,81.631,176
250.298,81.622,176
251.064,81.613,176
251.831,81.601,176
252.595,81.592,176
253.362,81.603,176
254.121,81.612,176
254.885,81.601,176
255.652,81.592,176
256.418,81.583,176
257.184,81.602,176
257.945,81.611,176
258.712,81.624,176
259.478,81.631,176
260.242,81.622,176
261.011,81.613,176
261.774,81.601,176
262.542,81.592,176
263.305,81.603,176
264.071,81.612,176
264.835,81.601,176
265.601,81.592,176
266.364,81.583,176
267.132,81.602,176
267.898,81.611,176
268.664,81.624,176
269.431,81.631,176
270.198,81.622,176
270.964,81.613,176
271.731,81.601,176
272.495,81.592,176
273.262,81.603,176
274.021,81.612,176
274.785,81.601,176
275.552,81.592,176
276.318,81.583,176
277.084,81.602,176
277.845,81.611,176
278.612,81.624,176
279.378,81.631,176
280.142,81.622,176
280.911,81.613,176
281.674,81.601,176
282.442,81.592,176
283.205,81.603,176
283.971,81.612,176
284.735,81.601,176
285.501,81.592,176
286.264,81.583,176
287.032,81.602,176
287.798,81.611,176
288.564,81.624,176
289.331,81.631,176
290.098,81.622,176
290.864,81.613,176
291.631,81.601,176
292.395,81.592,176
293.162,81.603,176
293.921,81.612,176
294.685,81.601,176
295.452,81.592,176
296.218,81.583,176
296.984,81.602,176
297.745,81.611,176
298.512,81.624,176
299.278,81.631,176
300.042,81.622,176
300.811,81.613,176
301.574,81.601,176
302.342,81.592,176
303.105,81.603,176
303.871,81.612,176
304.635,81.601,176
305.401,81.592,176
306.164,81.583,176
306.932,81.602,176
307.698,81.611,176
308.464,81.624,176
309.231,81.631,176
309.998,81.622,176
310.764,81.613,176
311.531,81.601,176
312.295,81.592,176
313.062,81.603,176
313.821,81.612,176
314.585,81.601,176
315.352,81.592,176
316.118,81.583,176
316.884,81.602,176
317.645,81.611,176
318.412,81.624,176
319.178,81.631,176
319.942,81.622,176
320.711,81.613,176
321.474,81.601,176
322.242,81.592,176
323.005,81.603,176
323.771,81.612,176
324.535,81.601,176
325.301,81.592,176
326.064,81.583,176
